query_index,query_path,true_path,false_path,true_pid,false_pid,true_visual_similarity,false_visual_similarity,true_minus_false_visual_gap,query_upper_colour,true_upper_colour,false_upper_colour,query_true_upper_colour_mismatch,query_false_upper_colour_match,true_upper_colour_contribution,false_upper_colour_contribution,query_lower_colour,true_lower_colour,false_lower_colour,query_true_lower_colour_mismatch,query_false_lower_colour_match,true_lower_colour_contribution,false_lower_colour_contribution,main_reward_attributes,main_true_penalty_attributes,removing_upper_colour_avoids_error,top1_without_upper_colour,removing_lower_colour_avoids_error,top1_without_lower_colour
43,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0042_c5_f0068874.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0042_c6_f0048404.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0103_c6_f0048435.jpg,42,103,0.8495995998382568,0.838168203830719,0.011431396007537842,brown,pink,brown,True,True,-1,1,brown,unknown,brown,False,True,0.0,1,upper_colour|lower_colour,upper_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0103_c6_f0048435.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0103_c6_f0048435.jpg
74,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0056_c8_f0017183.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0056_c1_f0061218.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6673_c8_f0138002.jpg,56,6673,0.8151477575302124,0.7957778573036194,0.019369900226593018,brown,black,gray,True,False,-1,-1,gray,black,gray,True,True,-1,1,lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6673_c8_f0138002.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0056_c1_f0061218.jpg
91,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0072_c6_f0042541.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0072_c2_f0064374.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0644_c6_f0152681.jpg,72,644,0.876624345779419,0.868594765663147,0.008029580116271973,black,black,black,False,True,1,1,black,gray,black,True,True,-1,1,upper_colour|lower_colour,lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0644_c6_f0152681.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0072_c2_f0064374.jpg
117,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0086_c1_f0067692.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0086_c2_f0067620.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0517_c1_f0132381.jpg,86,517,0.8314710259437561,0.8177592754364014,0.013711750507354736,unknown,blue,gray,False,False,0.0,0.0,gray,blue,gray,True,True,-1,1,lower_colour,lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0517_c1_f0132381.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0086_c2_f0067620.jpg
167,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0111_c7_f0054563.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0111_c8_f0028670.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6155_c8_f0050678.jpg,111,6155,0.8513153791427612,0.8417097926139832,0.009605586528778076,green,gray,unknown,True,False,-1,0.0,green,gray,unknown,True,False,-1,0.0,none,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6155_c8_f0050678.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6155_c8_f0050678.jpg
240,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0147_c2_f0080236.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0147_c1_f0079856.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0264_c2_f0100742.jpg,147,264,0.7680007219314575,0.7593450546264648,0.008655667304992676,gray,green,gray,True,True,-1,1,gray,green,gray,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0264_c2_f0100742.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0264_c2_f0100742.jpg
359,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0215_c4_f0071477.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0215_c3_f0073446.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0775_c4_f0173581.jpg,215,775,0.7731577157974243,0.7718299627304077,0.0013277530670166016,gray,brown,gray,True,True,-1,1,gray,gray,gray,False,True,1,1,upper_colour|lower_colour,upper_colour,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0215_c3_f0073446.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0775_c4_f0173581.jpg
474,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0279_c2_f0098340.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0279_c3_f0074148.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1699_c2_f0131973.jpg,279,1699,0.8701537847518921,0.8649897575378418,0.005164027214050293,blue,black,blue,True,True,-1,1,blue,black,blue,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1699_c2_f0131973.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1699_c2_f0131973.jpg
559,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0324_c6_f0083295.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0324_c2_f0105297.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1759_c2_f0148698.jpg,324,1759,0.7865040302276611,0.7764173746109009,0.010086655616760254,black,brown,black,True,True,-1,1,black,brown,black,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1759_c2_f0148698.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1759_c2_f0148698.jpg
641,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0369_c2_f0109813.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0369_c5_f0111436.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0631_c2_f0209362.jpg,369,631,0.8396767377853394,0.8345292806625366,0.005147457122802734,black,black,black,False,True,1,1,black,gray,black,True,True,-1,1,upper_colour|lower_colour,lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0631_c2_f0209362.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0369_c5_f0111436.jpg
678,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0390_c1_f0111618.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0390_c2_f0111828.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0011_c1_f0044278.jpg,390,11,0.8059661388397217,0.803756594657898,0.0022095441818237305,black,blue,black,True,True,-1,1,black,gray,black,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0011_c1_f0044278.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0011_c1_f0044278.jpg
783,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0468_c5_f0127575.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0468_c2_f0125199.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0828_c5_f0213824.jpg,468,828,0.8814871311187744,0.8664947748184204,0.014992356300354004,gray,black,gray,True,True,-1,1,gray,gray,gray,False,True,1,1,upper_colour|lower_colour,upper_colour,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0468_c2_f0125199.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0828_c5_f0213824.jpg
871,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0529_c1_f0135978.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0529_c2_f0142819.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0174_c1_f0086152.jpg,529,174,0.8282778859138489,0.8212486505508423,0.007029235363006592,brown,brown,brown,False,True,1,1,brown,gray,brown,True,True,-1,1,upper_colour|lower_colour,lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0174_c1_f0086152.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0529_c2_f0142819.jpg
922,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0555_c3_f0122063.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0555_c4_f0116603.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0023_c3_f0034250.jpg,555,23,0.8446313142776489,0.8363072872161865,0.008324027061462402,red,blue,red,True,True,-1,1,red,blue,red,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0023_c3_f0034250.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0023_c3_f0034250.jpg
933,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0570_c2_f0155569.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0570_c1_f0151479.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0427_c2_f0122763.jpg,570,427,0.8051621913909912,0.8049249649047852,0.0002372264862060547,gray,black,gray,True,True,-1,1,gray,black,gray,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0427_c2_f0122763.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0427_c2_f0122763.jpg
1124,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0691_c5_f0174767.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0691_c6_f0151134.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0812_c5_f0208831.jpg,691,812,0.856208324432373,0.8415194749832153,0.014688849449157715,gray,black,gray,True,True,-1,1,gray,gray,gray,False,True,1,1,upper_colour|lower_colour,upper_colour,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0691_c6_f0151134.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0812_c5_f0208831.jpg
1219,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0746_c1_f0187681.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0746_c8_f0143554.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0298_c1_f0100581.jpg,746,298,0.7821025848388672,0.780055046081543,0.0020475387573242188,gray,brown,gray,True,True,-1,1,gray,brown,gray,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0298_c1_f0100581.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0298_c1_f0100581.jpg
1294,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0790_c2_f0199877.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0790_c1_f0199872.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0705_c6_f0163370.jpg,790,705,0.7812902927398682,0.7773596048355103,0.00393068790435791,unknown,purple,gray,False,False,0.0,0.0,gray,unknown,gray,False,True,0.0,1,lower_colour,none,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0705_c6_f0163370.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0790_c1_f0199872.jpg
1332,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0818_c4_f0178002.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0818_c3_f0183160.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0272_c4_f0077214.jpg,818,272,0.7759324312210083,0.756812572479248,0.019119858741760254,brown,white,brown,True,True,-1,1,brown,white,brown,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0272_c4_f0077214.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0272_c4_f0077214.jpg
