query_index,query_path,query_pid,baseline_best_true_rank,baseline_rank1_correct,top100_bucket,recoverable_top50,recoverable_top100
2,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0005_c6_f0030883.jpg,5,1738,False,rank_gt_100,False,False
3,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0019_c1_f0051470.jpg,19,1657,False,rank_gt_100,False,False
7,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0021_c1_f0052336.jpg,21,322,False,rank_gt_100,False,False
14,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0023_c4_f0031504.jpg,23,21,False,rank_21_50,True,True
17,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c1_f0054309.jpg,27,263,False,rank_gt_100,False,False
18,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c2_f0054638.jpg,27,43,False,rank_21_50,True,True
19,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c3_f0030042.jpg,27,65,False,rank_51_100,False,True
20,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c4_f0023987.jpg,27,34,False,rank_21_50,True,True
29,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0033_c1_f0057706.jpg,33,188,False,rank_gt_100,False,False
33,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0034_c1_f0057636.jpg,34,293,False,rank_gt_100,False,False
34,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0034_c2_f0057453.jpg,34,113,False,rank_gt_100,False,False
36,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0035_c2_f0057892.jpg,35,294,False,rank_gt_100,False,False
37,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c1_f0058725.jpg,39,899,False,rank_gt_100,False,False
39,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c3_f0040399.jpg,39,48,False,rank_21_50,True,True
40,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c4_f0037989.jpg,39,404,False,rank_gt_100,False,False
41,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0042_c1_f0059238.jpg,42,28,False,rank_21_50,True,True
45,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c1_f0059677.jpg,43,1679,False,rank_gt_100,False,False
48,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c8_f0015591.jpg,43,2828,False,rank_gt_100,False,False
49,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0044_c1_f0059515.jpg,44,762,False,rank_gt_100,False,False
51,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0044_c5_f0061197.jpg,44,31,False,rank_21_50,True,True
58,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c2_f0063956.jpg,47,58,False,rank_51_100,False,True
59,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c3_f0041514.jpg,47,253,False,rank_gt_100,False,False
60,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c4_f0039318.jpg,47,1091,False,rank_gt_100,False,False
61,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0049_c1_f0060029.jpg,49,71,False,rank_51_100,False,True
63,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c1_f0060180.jpg,50,130,False,rank_gt_100,False,False
64,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c2_f0064798.jpg,50,72,False,rank_51_100,False,True
65,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c3_f0041757.jpg,50,21,False,rank_21_50,True,True
67,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c1_f0060060.jpg,51,2202,False,rank_gt_100,False,False
70,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c4_f0030830.jpg,51,431,False,rank_gt_100,False,False
71,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0053_c1_f0060659.jpg,53,281,False,rank_gt_100,False,False
72,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0053_c2_f0063910.jpg,53,39,False,rank_21_50,True,True
