baseline_false_path,baseline_false_pid,baseline_false_visual_similarity,best_true_path,best_true_rank_after,best_true_rank_before,best_true_visual_similarity,false_semantic_adjustment,funnel_stage,query_index,query_path,query_pid,semantic_corrected_rank1,true_in_ambiguity,true_in_top20,true_minus_false_visual_gap,true_semantic_adjustment
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0098_c6_f0057652.jpg,98,0.8785198926925659,,,,,,B,2,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0005_c6_f0030883.jpg,5,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0034_c1_f0057876.jpg,34,0.8990962505340576,,,,,,B,3,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0019_c1_f0051470.jpg,19,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0128_c1_f0075872.jpg,128,0.861357569694519,,,,,,B,7,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0021_c1_f0052336.jpg,21,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0555_c3_f0122303.jpg,555,0.8172121047973633,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0023_c3_f0034250.jpg,1,2,0.8022481203079224,-1.0,E,11,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0023_c1_f0052564.jpg,23,True,True,True,-0.014963984489440918,1.0
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1699_c3_f0108797.jpg,1699,0.8532443046569824,,,,,,C,13,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0023_c3_f0033770.jpg,23,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0279_c4_f0068609.jpg,279,0.8469153642654419,,,,,,B,14,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0023_c4_f0031504.jpg,23,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1642_c4_f0098394.jpg,1642,0.7664057016372681,,,,,,C,16,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0025_c8_f0010986.jpg,25,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0287_c1_f0098601.jpg,287,0.8908506035804749,,,,,,B,17,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c1_f0054309.jpg,27,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0204_c2_f0088230.jpg,204,0.821839451789856,,,,,,B,18,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c2_f0054638.jpg,27,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0304_c3_f0076002.jpg,304,0.8636462688446045,,,,,,B,19,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c3_f0030042.jpg,27,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0078_c4_f0033445.jpg,78,0.8202107548713684,,,,,,B,20,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c4_f0023987.jpg,27,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1699_c4_f0106766.jpg,1699,0.8578509092330933,,,,,,C,24,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0030_c4_f0026288.jpg,30,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0035_c1_f0057792.jpg,35,0.79393470287323,,,,,,C,25,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0031_c1_f0057180.jpg,31,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0763_c2_f0196033.jpg,763,0.7921091914176941,,,,,,C,26,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0031_c2_f0062046.jpg,31,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0551_c6_f0130420.jpg,551,0.8026474118232727,,,,,,C,28,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0031_c6_f0045932.jpg,31,,False,True,,
