query_index,query_path,query_pid,baseline_best_true_rank,baseline_rank1_correct,aqe_best_true_rank,aqe_rank1_correct,aqe_top20_movement,dba_best_true_rank,dba_rank1_correct,dba_top20_movement,aqe_dba_best_true_rank,aqe_dba_rank1_correct,aqe_dba_top20_movement
0,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0005_c2_f0046985.jpg,5,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
1,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0005_c5_f0051781.jpg,5,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
2,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0005_c6_f0030883.jpg,5,1738,False,2890,False,stayed_outside20,3628,False,stayed_outside20,9671,False,stayed_outside20
3,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0019_c1_f0051470.jpg,19,1657,False,3476,False,stayed_outside20,1667,False,stayed_outside20,2733,False,stayed_outside20
4,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0019_c2_f0055712.jpg,19,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
5,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0019_c5_f0061106.jpg,19,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
6,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0019_c6_f0040430.jpg,19,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
7,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0021_c1_f0052336.jpg,21,322,False,1480,False,stayed_outside20,284,False,stayed_outside20,2045,False,stayed_outside20
8,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0021_c6_f0030737.jpg,21,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
9,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0021_c7_f0035375.jpg,21,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
10,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0021_c8_f0008756.jpg,21,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
11,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0023_c1_f0052564.jpg,23,2,False,3,False,stayed_inside20,2,False,stayed_inside20,3,False,stayed_inside20
12,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0023_c2_f0056463.jpg,23,1,True,2,False,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
13,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0023_c3_f0033770.jpg,23,8,False,26,False,inside20_to_outside20,1,True,stayed_inside20,2,False,stayed_inside20
14,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0023_c4_f0031504.jpg,23,21,False,30,False,stayed_outside20,33,False,stayed_outside20,79,False,stayed_outside20
15,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0025_c1_f0053650.jpg,25,1,True,5,False,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
16,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0025_c8_f0010986.jpg,25,16,False,404,False,inside20_to_outside20,3,False,stayed_inside20,103,False,inside20_to_outside20
17,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c1_f0054309.jpg,27,263,False,336,False,stayed_outside20,642,False,stayed_outside20,671,False,stayed_outside20
18,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c2_f0054638.jpg,27,43,False,98,False,stayed_outside20,107,False,stayed_outside20,186,False,stayed_outside20
19,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c3_f0030042.jpg,27,65,False,431,False,stayed_outside20,832,False,stayed_outside20,1000,False,stayed_outside20
20,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0027_c4_f0023987.jpg,27,34,False,42,False,stayed_outside20,97,False,stayed_outside20,106,False,stayed_outside20
