query_index,query_path,query_pid,transition,baseline_top1_path,baseline_top1_pid,semantic_top1_path,semantic_top1_pid
24,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0030_c4_f0026288.jpg,30,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0030_c3_f0032192.jpg,30,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0046_c4_f0039207.jpg,46
93,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c2_f0069561.jpg,75,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0204_c2_f0088350.jpg,204,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0075_c1_f0065238.jpg,75
141,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0098_c5_f0078829.jpg,98,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0230_c5_f0096668.jpg,230,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0098_c2_f0074290.jpg,98
243,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0149_c1_f0080969.jpg,149,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0201_c1_f0089488.jpg,201,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0149_c2_f0079841.jpg,149
378,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0229_c5_f0126191.jpg,229,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6777_c8_f0174140.jpg,6777,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0229_c2_f0125007.jpg,229
542,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0315_c5_f0112364.jpg,315,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6403_c8_f0077160.jpg,6403,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0315_c2_f0107317.jpg,315
569,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0334_c2_f0109556.jpg,334,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0334_c5_f0114883.jpg,334,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0459_c8_f0080309.jpg,459
599,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0353_c1_f0106968.jpg,353,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0355_c1_f0107440.jpg,355,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0353_c8_f0063342.jpg,353
642,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0369_c5_f0111316.jpg,369,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6698_c8_f0142682.jpg,6698,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0369_c2_f0109453.jpg,369
649,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0372_c8_f0066182.jpg,372,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0372_c1_f0109738.jpg,372,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6297_c8_f0065776.jpg,6297
748,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0442_c3_f0102329.jpg,442,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1487_c3_f0074597.jpg,1487,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0442_c2_f0124509.jpg,442
858,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0517_c2_f0131939.jpg,517,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0517_c5_f0134855.jpg,517,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0109_c2_f0075816.jpg,109
864,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0523_c4_f0102894.jpg,523,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\3259_c4_f0193160.jpg,3259,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0523_c2_f0133211.jpg,523
1161,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0707_c1_f0176667.jpg,707,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0541_c1_f0139732.jpg,541,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0707_c5_f0185316.jpg,707
1187,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0722_c6_f0171355.jpg,722,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0305_c6_f0088563.jpg,305,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0722_c5_f0191973.jpg,722
1212,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0742_c5_f0195520.jpg,742,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6690_c8_f0142160.jpg,6690,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0742_c1_f0186934.jpg,742
1260,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0766_c5_f0198391.jpg,766,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6813_c8_f0122738.jpg,6813,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0766_c1_f0191237.jpg,766
1392,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\1228_c1_f0215393.jpg,1228,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1228_c3_f0191088.jpg,1228,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0380_c1_f0110741.jpg,380
1461,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\1585_c2_f0114282.jpg,1585,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1585_c8_f0068467.jpg,1585,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0066_c6_f0041242.jpg,66
1601,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\2724_c5_f0175396.jpg,2724,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0542_c6_f0118349.jpg,542,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2724_c8_f0127616.jpg,2724
1620,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\2942_c5_f0067139.jpg,2942,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2942_c6_f0048466.jpg,2942,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2407_c8_f0008381.jpg,2407
1646,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\3495_c5_f0107184.jpg,3495,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0591_c5_f0164025.jpg,591,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\3495_c6_f0086228.jpg,3495
1700,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4071_c8_f0010885.jpg,4071,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4071_c7_f0040132.jpg,4071,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4072_c7_f0040204.jpg,4072
1723,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4106_c8_f0024029.jpg,4106,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4106_c6_f0045402.jpg,4106,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4082_c8_f0019565.jpg,4082
1843,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4239_c8_f0040606.jpg,4239,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4205_c8_f0034811.jpg,4205,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4239_c6_f0068093.jpg,4239
1950,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4405_c7_f0092580.jpg,4405,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0409_c6_f0091215.jpg,409,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4405_c6_f0091126.jpg,4405
1951,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4405_c8_f0063257.jpg,4405,correct_to_wrong,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4405_c6_f0091006.jpg,4405,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0409_c6_f0091215.jpg,409
1953,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4416_c7_f0095936.jpg,4416,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0538_c1_f0138315.jpg,538,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4416_c6_f0094675.jpg,4416
1979,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4459_c6_f0100479.jpg,4459,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0625_c6_f0147547.jpg,625,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4459_c7_f0105581.jpg,4459
2059,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4573_c8_f0104885.jpg,4573,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4134_c7_f0054259.jpg,4134,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4573_c6_f0131943.jpg,4573
2154,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4750_c6_f0177752.jpg,4750,wrong_to_correct,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4558_c7_f0129982.jpg,4558,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4750_c7_f0180404.jpg,4750
