query_index,query_path,query_pid,transition,baseline_top1_path,baseline_top1_pid,semantic_top1_path,semantic_top1_pid
137,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0041/0041_008_07_0303morning_0170_0.jpg,41,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1062/1062_026_07_0113morning_0978_0.jpg,1062,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0041/0041_012_05_0303morning_0185_0.jpg,41
167,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0051/0051_000_01_0303morning_0229_5.jpg,51,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1419/1419_019_15_0113noon_0501_2.jpg,1419,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0051/0051_007_07_0303morning_0229_0_ex.jpg,51
199,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0061/0061_014_05_0303morning_0282_1.jpg,61,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2334/2334_033_06_0302afternoon_1607_0.jpg,2334,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0061/0061_029_07_0302morning_0344_0.jpg,61
208,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0063/0063_009_07_0303morning_0287_1.jpg,63,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0464/0464_022_03_0303afternoon_0203_0_ex.jpg,464,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0063/0063_016_05_0303morning_0302_0_ex.jpg,63
212,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0064/0064_008_07_0303morning_0293_1_ex.jpg,64,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0464/0464_026_03_0303afternoon_0206_0_ex.jpg,464,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0064/0064_026_12_0303morning_0288_2.jpg,64
327,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0098/0098_005_07_0303morning_0465_0.jpg,98,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2088/2088_129_14_0302afternoon_0725_1.jpg,2088,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0098/0098_008_05_0303morning_0477_0_ex.jpg,98
368,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0110/0110_017_05_0303morning_0550_1.jpg,110,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1733/1733_024_05_0302morning_0406_0.jpg,1733,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0110/0110_053_07_0302morning_0539_1_ex.jpg,110
423,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0124/0124_005_01_0303morning_0654_0.jpg,124,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0152/0152_002_01_0303morning_0774_0.jpg,152,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0124/0124_008_07_0303morning_0650_0.jpg,124
473,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0140/0140_002_01_0303morning_0716_2.jpg,140,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0140/0140_014_05_0303morning_0727_0_ex.jpg,140,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0190/0190_011_05_0303morning_1047_1.jpg,190
494,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0146/0146_016_05_0303morning_0831_0.jpg,146,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0083/0083_012_05_0303morning_0407_1.jpg,83,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0146/0146_011_07_0303morning_0818_0.jpg,146
554,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0162/0162_024_15_0303morning_1071_0.jpg,162,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0162/0162_004_07_0303morning_0838_1.jpg,162,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1057/1057_010_07_0113morning_0845_0.jpg,1057
606,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0175/0175_009_07_0303morning_0955_1.jpg,175,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0175/0175_018_05_0303morning_0974_1.jpg,175,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0091/0091_008_07_0303morning_0419_0_ex.jpg,91
639,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0186/0186_012_07_0303morning_1020_0.jpg,186,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0186/0186_016_05_0303morning_1037_2_ex.jpg,186,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0016/0016_013_07_0303morning_0054_2.jpg,16
689,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0201/0201_022_15_0303morning_1287_0.jpg,201,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0203/0203_024_15_0303morning_1295_2.jpg,203,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0201/0201_011_07_0303morning_1082_3.jpg,201
